name,url,distinction,reservation_link,description_en,postal_code,region,locality,lat,lon,price_lvl,genre
食堂うちの／Shokudo Uchino,https://guide.michelin.com/jp/ja/osaka-region/osaka/restaurant/shokudo-uchino,,https://www.tablecheck.com/shops/shokudou-uchino/reserve?utm_source=michelin_guide,独学の主人と和食出身の相棒。かつての同僚だった二人で店を立ち上げた。「食堂」を名乗るのは気楽に味わってほしいから。月替わりのコースは、茶碗蒸しとミニバーガーが馴染みの品。牛丼は、深夜食堂として間借り営業をしていた頃からの思い入れある名物。和食を基本とする創作料理で人気を集める。,530-0003,大阪,大阪,34.696004,135.497798,¥¥¥,日本料理
蛸薬師 ふるかわ／Takoyakushi Furukawa,https://guide.michelin.com/jp/ja/kyoto-region/kyoto/restaurant/takoyakushi-furukawa,,https://www.tablecheck.com/ja/takoyakushi-furukawa/reserve/message?utm_source=michelin_guide,居酒屋の一角にある割烹店。奥に進むと檜のカウンターを設えた和の空間が広がる。食事の始まりはだしを引く演出。一番だしの香りとおいしさを味見させてくれる。献立は旬の味覚を少しずつ楽しめるようにと品数が多い。締めは白ご飯、炊き込み、雑炊など。手間を惜しまない気持ちが一品ごとに表れる。,604-8146,京都,京都,35.006242,135.76044,¥¥¥,日本料理
ますます増田／Masumasu Masuda,https://guide.michelin.com/jp/ja/kyoto-region/kyoto/restaurant/masumasu-masuda,,https://www.tablecheck.com/ja/masumasumasuda/reserve/message?utm_source=michelin_guide,言葉遊びのような響き、益々の意味合いからなる屋号。家族で支え合いながら店が繁盛するように祈る。献立には出身地である栃木県の食材も多い。季節の野菜のほか、日光の友人が育てた鱒は押し寿司、とちぎ和牛はカツレツに。おくどさんで炊くご飯は栃木米と聞けば、ますます目が離せない。,602-8236,京都,京都,35.02563,135.749475,¥¥¥,日本料理
クーデキヨ／ku:de kiyo,https://guide.michelin.com/jp/ja/osaka-region/osaka/restaurant/ku-de-kiyo,,,大阪弁の「食うで」と自身のニックネーム「キヨ」をフレンチ風の響きに。青や緑が鮮やかなイメージカラーにも自由な気風が漂う。テーマは記憶に残る料理。一品の食材を三つまでに留め、盛り付けを削ぐ。量を惜しまないのも同じ理由から。昼は洋食にご飯と味噌汁が付く定食屋として地域に親しまれている。,532-0026,大阪,大阪,34.713556,135.470402,¥¥¥,フランス料理
こりょうり たか屋／Koryori Takaya,https://guide.michelin.com/jp/ja/kyoto-region/kyoto/restaurant/koryori-takaya,,,割烹店でありながらも小料理屋のような親しみやすさが身上。できたての料理と笑顔の会話で気持ちを届ける。昼は少しずつ色々な料理を御膳でもてなす。夜はおまかせに腕を振るい、締めの土鍋ご飯にはおかずを添える。漬け鮪、焼魚、すき焼といった数種から好みの一品を選ばせてくれるのが嬉しい。,600-8218,京都,京都,34.989133,135.75812,¥¥¥,日本料理
米処いなもと／Komedokoro Inamoto,https://guide.michelin.com/jp/ja/kyoto-region/kyoto/restaurant/komedokoro-inamoto,,,ご飯好きの主人が開いた「米処」。炊きたての白いご飯が名物というのもうなずける。料理は小皿で供され、少しずつ色々と楽しめる。おかずの盛り合わせを注文すれば、更に箸が進んでしまう。愛媛出身ゆえ今治から届く魚介が自慢。添える柑橘も地元から。ご飯処でも、酒と肴でも、その日の気分で使いやすい。,600-8455,京都,京都,34.997208,135.75511,¥¥,居酒屋
鮨 一永／Sushi Ichiei,https://guide.michelin.com/jp/ja/osaka-region/osaka/restaurant/sushi-ichiei,,,独立が夢だった父の意思を継ぎ、同じすし職人の道を歩む。おまかせの定番は牡丹海老の造り。茗荷の海苔巻は、つまみからすしへと移る合図。握りは正統派を心掛けながらも、海老は甘海老といった個性も。厚焼玉子にも職人技を見せる。「一永」は一つ一つの出会いを大切に、永く愛される店でありたいと望む。,542-0074,大阪,大阪,34.668014,135.504491,¥¥¥,寿司
踝／Kurubushi,https://guide.michelin.com/jp/ja/osaka-region/osaka/restaurant/kurubushi,,https://www.tablecheck.com/shops/kurubushi-tenma/reserve?utm_source=michelin_guide,居酒屋の主人が姉妹店として開いた割烹店。カウンターで腕を振るう料理長は、日本酒が進むよう塩味に気を配る。骨董の器や西洋アンティークのグラス類など目にも楽しませてくれる。締めは季節の炊き込みご飯とカレーが用意され、お代わり自由なのも嬉しい。創作性に富むおまかせを心ゆくまで堪能できる。,530-0022,大阪,大阪,34.707452,135.509675,¥¥¥,日本料理
レ シス／Les six,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/les-six,ビブグルマン：価格以上の満足感が得られる料理,,シェフはビストロ料理を根本とした味わいに自身の感性を取り入れている。黒板メニューには、オーソドックスな料理と共に、季節素材を使った一品が並ぶ。基本的に、前菜とメインの二皿で充分な量だが、小皿の前菜や、料理によってはハーフポーションの注文も受けてくれるので相談してみよう。,106-0047,東京,東京,35.651815,139.722428,¥¥,フランス料理
レドゥー／Les deux,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/les-deux-1214713,,,「共に」を意味するレドゥー。シェフの料理にマダムがワインを合わせ、ゲストと共に楽しむ思いを込めた。メニューは季節の食材を存分に味わえるおまかせのみ。ズワイガニ、ホタテ、ウニのカクテルは、華やかさをイメージした前菜。お腹いっぱいになってほしいと、一品の量がたっぷりなのも嬉しい。,153-0051,東京,東京,35.642776,139.699494,¥¥¥,フランス料理
氣分／KIBUN,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/kibun,,https://www.tablecheck.com/ja/kibun/reserve/message?utm_source=michelin_guide,日本料理を学ぶためにフランスから来日したシェフ。フレンチと和食を組み合わせるコースに歩みを示す。鱧の骨切りや烏賊に施す和の包丁技、素材を一層引き立てるソース。果実やハーブの風味を重ねて創造する料理に国境はない。「氣分」は氣（エネルギー）を分けるの意。食材の持ち味を感性豊かに表現する。,106-0031,東京,東京,35.659416,139.722558,¥¥¥,現代風料理
白金 芯／Shirokane Shin,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/shirokane-shin,,https://www.tablecheck.com/ja/shirokane-shin/reserve/message?utm_source=michelin_guide,店主は起承転結を意識し、最初の数品を組み立てる。そして客は品書きから好みの料理を注文し、自らの献立を作り上げることになる。言わば、初めは店主に委ね、続きはその日の気分により自由に量や味わいを調えることできる。おまかせが多くなったこの頃、お互いを重んずる料理屋の心配りがある。,108-0072,東京,東京,35.646732,139.731203,¥¥¥,日本料理
山／Yama,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/yama-1214953,1つ星：高品質な料理,https://omakase.in/ja/r/oz781836?utm_content=booking_btn&utm_medium=referral&utm_source=michelinofficial,全国の農家を訪ね出会った果物に愛情を込める。柑橘、マンゴー、桃、無花果、栗、旬の味覚が移り変わる。香り、食感、冷温の変化に加え、野菜を組み込みコースに緩急つける。勝俣孝一は、壮麗な富士山が見える山梨県生まれ。起伏に富む日本列島の山脈の様に、ピュアな甘みの高低差を味わいたい。,108-0072,東京,東京,35.643773,139.722916,¥¥¥¥,クリエイティブ
鮨 てる／Sushi Teru,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sushi-teru,,,荒木町の小道にある漆喰塗りの壁が目を引く。気立ての良い主人が迎えてくれる。振舞うのはおまかせのみ。つまみは魚介の造りや焼物など素直な仕立て。すしは白身から始まり、小肌、鮪、穴子の順に、淡い味から濃い味へと流れてゆく。屋号は祖母の名。年を重ねても元気だった姿に、店の長寿を願う。,160-0007,東京,東京,35.689186,139.722094,¥¥¥,寿司
すきやき あさい／SUKIYAKI ASAI,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sukiyaki-asai,,https://omakase.in/r/bx344698?utm_content=booking_btn&utm_medium=referral&utm_source=michelinofficial,カウンターで味わうすき焼のもてなし。仲居が向かいに立ち、牛肉と野菜を交互に調理する。扱うのは滋賀の精肉店が目利きする和牛。肉の厚さを変えて食べ比べ。メレンゲのように泡立てた卵や、土佐酢と卵黄のタレで食べるのが独特。締めは割下と牛脂で炒めるしらたき。工夫を凝らし目も舌も楽しませてくれる。,105-0001,東京,東京,35.665312,139.74701,¥¥¥,すき焼
マ プール／Ma Poule,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ma-poule,ビブグルマン：価格以上の満足感が得られる料理,,フランス東部に位置するジュラ地方。その魅力を届けるために開いた小さなレストラン。森林や渓谷、湖沼の自然豊かな食材と人々に魅了されたシェフ。鶏とモリーユ茸のヴァンジョーヌソースは誇りある郷土料理。特産の黄色ワインを合わせてくれる。ファサード、内装、マダムの服も黄色。ジュラ愛に満ちている。,113-0024,東京,東京,35.716254,139.757224,¥¥,フランス料理
ロドラント ミノルナキジン／l'Odorante par Minoru Nakijin,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/l-odorante-par-minoru-nakijin,,https://www.tablecheck.com/shops/lodorante/reserve?utm_source=michelin_guide,香水の都として知られる南仏グラースで感性を磨いた。修業地に思いを寄せ、芳香を意味する「ロドラント」を店名とした。追求するのは洗練された香り。クラシックな手法で日本の食材と向き合い、日仏のエスプリを融合。風味豊かな一皿に個性を発揮する。料理の背景を伝える接客も一翼を担い五感に記憶を残す。,104-0061,東京,東京,35.669736,139.76222,¥¥¥,フランス料理
ピエール・ガニェール／PIERRE GAGNAIRE,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/pierre-gagnaire-1194140,2つ星：優れた料理,https://www.tablecheck.com/shops/anaintercontinentaltokyo-pierregagnaire/reserve?utm_source=michelin_guide,コースは日仏の食材で季節を表し、両国の食文化と自然の豊かさを交える。料理の創作性と繊細さ、彩り豊かな盛り付けには、厨房を任される日本人シェフと“厨房のピカソ”と称されるピエール・ガニェールの芸術的感性、美意識が行き届く。高層階にあるダイニングからの眺め、ホスピタリティあるサービスも魅力。,107-0052,東京,東京,35.668231,139.741089,¥¥¥¥,"フランス料理, 現代風料理"
東山無垢／Higashiyama Muku,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/higashiyama-muku,1つ星：高品質な料理,https://omakase.in/ja/r/sb741129?utm_content=booking_btn&utm_medium=referral&utm_source=michelinofficial,無垢は潔白や純真を表す言葉。白を基調とした空間、食材の持ち味を生かした料理に三島立己の思いが宿る。地元島根では魚を学ぶため鮮魚店でも働いた。蟹、鮑、のどぐろはその店から仕入れ交流を深めている。炊き込みご飯の後に素麺やカレーを供して一捻り。正統を守りながらも遊び心を忍ばせる。,153-0043,東京,東京,35.64732,139.693148,¥¥¥,日本料理
ブラッスリー ポワソンルージュ／BRASSERIE POISSON ROUGE,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/brasserie-poisson-rouge,ビブグルマン：価格以上の満足感が得られる料理,,前菜からデザートまで豪快な量で味わえるのが魅力。料理はニース風サラダ、魚の裏ごしスープ、トゥールーズ風カスレなど地方色豊かな品揃え。ソースたっぷりの仔羊や鴨のローストも食べ応えがある。皿の上は、フランス料理でお腹も心も満たしたいというシェフの気概にあふれる。ワインと共に楽しみたい。,140-0014,東京,東京,35.604464,139.73374,¥¥,フランス料理
柳燕／Ryuen,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ryuen,,https://omakase.in/r/mb835931?utm_content=booking_btn&utm_medium=referral&utm_source=michelinofficial,柳が芽吹く頃、燕が飛んでくるのが「柳燕」の由来。柳を店、燕を客になぞらえ、戻ってくる場所でありたいと願う。修業で学んだのは食材への敬意。余すことなく使う術を身につけた。牛肉料理を挟むのは「おにく花柳」の姉妹店ゆえ。日本料理の伝統を守りつつ創意を凝らした品々。温故知新を掲げ新味に挑む。,103-0013,東京,東京,35.685555,139.783995,¥¥¥,日本料理
ル・プリスティン 東京／LE PRISTINE TOKYO,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/le-pristine-tokyo,,https://omakaseje.com/restaurants/ya443598?utm_content=booking_btn&utm_medium=referral&utm_source=michelinofficial,ベルギーに本店を置く「ル・プリスティン」。オランダ料理界を牽引してきたセルジオ・ハーマンが監修。故郷ゼーラント地方の風土や食を組み合わせた“新たなイタリアン”を発信する。代表作のシーフードオレキエッテは日本の食材を融合させ東京仕様に。音楽やアートがリンクするダイニングは現代的。,105-0001,東京,東京,35.667515,139.746319,¥¥¥,"現代風料理, 現代風イタリア料理"
啓蟄／Keichitsu,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/keichitsu,,https://www.tablecheck.com/ja/shops/keichitsu/reserve?utm_source=michelin_guide,啓蟄とは二十四節気、七十二候の一つ。生物が冬眠から目覚める春の暦を示す。シェフは自然界の芽吹きに自らの意欲を重ね、独創性あふれる料理を生み出す。主となる食材に着目し、様々な調理法を施し一皿に集約。野菜ならロースト、ピュレ、ソースにして味を深める。柚子や山椒といった香りでも季節を添える。,150-0046,東京,東京,35.659191,139.691891,¥¥¥,"フランス料理, 現代風フランス料理"
ボネラン／bonélan,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/bonelan,,,ガストロノミーの「レラン」に併設するカジュアルレストラン。コンセプトは“クラシックを気軽に”。コースはプリフィクス。野菜のテリーヌ、魚介のポワレ、鴨のコンフィなどをモダンに仕立てる。コンソメに端材を使うのは食品ロスへのメッセージ。現代のフィルターを通して、伝統料理の魅力を伝える。,150-0001,東京,東京,35.667538,139.70695,¥¥,フランス料理
キャトル・ヴァン・ドゥーズ／Quatre Vingt Douze,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/quatre-vingt-douze,,https://omakaseje.com/restaurants/uq966944?utm_content=booking_btn&utm_medium=referral&utm_source=michelinofficial,食材の風味や食感を重ね、多様な味わいを表現できるフランス料理。それらが創作意欲の源でもありレシピの組み立てというシェフ。味わいは、フルーツやハーブ、スパイスを効果的に使い軽やかに。魚と肉料理にソースは欠かさず、古典への敬意を示す。デザートはマダムが担当。夫婦で小さな店を支え合う。,156-0055,東京,東京,35.647493,139.622802,¥¥¥,"フランス料理, 現代風フランス料理"
デプス ブリアンツァ／DepTH brianza,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/depth-brianza,,https://omakaseje.com/restaurants/kv881339?utm_content=booking_btn&utm_medium=referral&utm_source=michelinofficial,多様なコンセプトでイタリア料理の可能性を広げてきた「ブリアンツァ」。奥野シェフの次なる試みは、イタリア料理の枠にとどまらない食体験。伝統を根底に置きながらも、和の食材で再構築する。「デプス」は奥行き、深みを意味。積み上げてきた技術と知識を応用し、ここにしかない料理を創作する。,106-0041,東京,東京,35.662017,139.74026,¥¥¥,"イタリア料理, 現代風料理"
鮓家一／Sushiya Hajime,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sushiya-hajime,,https://www.tablecheck.com/sushiyahajime/reserve/message?utm_source=michelin_guide,「鮓」の漢字は発酵させたすしを指し、文化の始まりを辿る。更に市場での目利きから初心に返って始めたいと一（はじめ）を屋号にした。魚は締める、煮るなど古来の仕事を追う。おまかせは品数が多く握りは小振り。種の質も惜しまない心意気にも満足。熟練さは気配りにも表れる。こんな店が近所に欲しい。,162-0825,東京,東京,35.701694,139.740107,¥¥¥,寿司
YAKITORI 燃es／YAKITORI Moe es,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/yakitori-moe-es,,https://omakase.in/ja/r/mb122641?utm_source=michelinofficial&utm_medium=referral&utm_content=booking_btn,焼鳥とフレンチ、双方の経験が生きるおまかせ。先ずはスモークチキンやフォワグラテリーヌといった前菜から。鶏スープは澄んだコンソメのよう。鶏肉は飼育期間の長い地鶏を丸のまま仕入れ、数日寝かせて旨みを凝縮させる。肉質を引き立てるため塩が多く、タレの量は控えめ。締めはシンプルな鶏そば。,106-0032,東京,東京,35.663713,139.730292,¥¥¥,焼鳥
Fry家／Fry-ya,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/fry-ya,ビブグルマン：価格以上の満足感が得られる料理,https://omakaseje.com/restaurants/cx206770?utm_content=booking_btn&utm_medium=referral&utm_source=michelinofficial,とんかつ、魚介、野菜などから好みの種を選び、オリジナルのミックスフライが出来上がる仕掛け。文字通りフライ家だ。昼は盛り合わせの定食。夜はコースで一種ずつ揚げたてを味わう。素材に応じてパン粉を変え、ラードや胡麻油を使い分けるのが独特。ササミは細部まで火入れを計算し低温で揚げている。,169-0075,東京,東京,35.71082,139.70387,¥¥,"とんかつ, 洋食"
現代茶寮 銀座凮月堂／Gendaisaryo Ginza Fugetsudo,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/gendaisaryo-ginza-fugetsudo,,https://www.tablecheck.com/ja/gendaisaryou-ginzafugetsudo/reserve/message?utm_source=michelin_guide,茶寮だったスペースがフランス料理店になった。シェフとソムリエが手腕を発揮し、料理にワインやカクテルを合わす。1年を52週ととらえたコースのテーマは旬。よって週替わりで食材が変わる。ソースがあるクラシカルな現代風料理。和洋菓子のデザートを充実させるのも歴史ある銀座凮月堂らしい。,104-0061,東京,東京,35.671166,139.762704,¥¥¥,フランス料理
トゥールダルジャン 東京／Tour D'argent Tokyo,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/tour-d-argent-1194082,1つ星：高品質な料理,https://www.tablecheck.com/shops/latourdargent/reserve?utm_source=michelin_guide,1582年に開業したパリ本店の歴史を辿る。案内人はM.O.F.（フランス国家最優秀職人章）を持つルノー・オージエ。現代の感性で古典料理に新風を吹き込む。昭和天皇も堪能したナンバリングの幼鴨やフォワグラ三皇帝風は揺るぎないスペシャリテ。美食の舞台となる贅を極めたダイニングに胸が躍る。,102-8578,東京,東京,35.680691,139.734172,¥¥¥¥,フランス料理
アムール／AMOUR,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/amour,,https://omakaseje.com/restaurants/ys599175?utm_source=michelinofficial&utm_medium=referral&utm_content=booking_btn,人、食材、道具のすべてに敬意を込め、「愛」を意味する店名にした。卓上へ届けられる封書は、後藤祐輔シェフからのメッセージ。ゲストに感謝する気持ち、料理への想い、その日のメニューが綴られる。国産食材に特化した“ジャパニーズフレンチ”は繊細で軽やか。四季を映す料理を楽しみたい。,150-0012,東京,東京,35.648728,139.714137,¥¥¥,フランス料理
ル ビストロ デ ブル／le bistrot des bleus,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/le-bistrot-des-bleus,ビブグルマン：価格以上の満足感が得られる料理,https://www.tablecheck.com/shops/le-bistrot-des-bleus/reserve?utm_source=michelin_guide,「青きものたちのビストロ」を意味する店名。若い料理人とソムリエが生き生きと、フランス料理に情熱を注ぐ。シュークルートやブイヤベースといった各地の郷土料理をアラカルトで。フランス国旗の青は自由の象徴。15時から店を開け、横丁のようなレストラン街、カジュアルな雰囲気にも自由さが表れる。,150-0012,東京,東京,35.650758,139.721829,¥¥,フランス料理
東京チャイニーズ 一凛／Tokyo Chinese Ichirin,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/tokyo-chinese-ichirin,,https://www.tablecheck.com/shops/ichirin/reserve?utm_source=michelin_guide,まろやかな辛さを心掛けた四川料理。夜のコースは、よだれ鶏にレバーパテを添えるのがオリジナル。大振りな海老を一匹丸ごと使ったエビチリ、スフレのようにふんわりとしたカニ玉など、個性ある一品料理の追加もおすすめ。平日の昼は、回鍋肉や担々麺のセット。人気があり、時間によっては並ぶことも。,104-0045,東京,東京,35.669873,139.771525,¥¥,中国料理
ラ・ロシェル 南青山／La Rochelle Minami Aoyama,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/la-rochelle-minami-aoyama,,https://omakaseje.com/restaurants/if676169?utm_content=booking_btn&utm_medium=referral&utm_source=michelinofficial,“フレンチの鉄人”として名を馳せた、坂井宏行のレストラン。番組では、赤いコックコートと片手に洋梨でお茶の間を沸かせた。かつてロシェルの港町でひらめいたのが“懐石フレンチ”。じゅん菜や鱧などの和素材を陶芸家の器に盛り、季節の葉をあしらう。米粉のパンと日本酒もマリアージュしてしまう。,107-0062,東京,東京,35.665171,139.714349,¥¥¥,フランス料理
かんだ／Kanda,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/kanda,3つ星：特別な料理,https://omakase.in/r/te664320?utm_source=michelinofficial&utm_medium=referral&utm_content=booking_btn,目と手と気持ちを届けるのが神田裕行の考え。客と距離が近いカウンター割烹は、茶事に通じる和のもてなしがあるとも語る。日本料理の本質を掘り下げ、驚きのある創意を盛り込み、日本文化を発信。空間は現代美術作家の杉本博司が手掛けた。古典の美しさを現代の感性で洗練させた表現が響き合う。,105-0002,東京,東京,35.6658,139.748,¥¥¥¥,日本料理
Japanese Ramen 五感／Japanese Ramen Gokan,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/japanese-ramen-gokan,ビブグルマン：価格以上の満足感が得られる料理,https://www.tablecheck.com/shops/ramen-gokan/reserve?utm_source=michelin_guide,和食文化を世界へ発信する想いでJapanese Ramenを冠した。その名のもと国産食材に特化する。ラーメンは醤油と塩の2種。スープに地鶏、黒豚、蛤、しじみなど、旨味を重ねる。調理に炭火を用いるのも和の要素。見た目に美しく、香りは食欲をそそり、旨みある味が五感を刺激する。,170-0013,東京,東京,35.732982,139.717911,¥,ラーメン
ポ・ブイユ／Pot-Bouille,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/pot-bouille,ビブグルマン：価格以上の満足感が得られる料理,,照明を落としたカウンターは、大人が集う洒落た雰囲気。リエットやラタトュイユはフレンチ。トリッパ、海老春巻、トムヤムクンラーメンといった多国籍の品揃えに興味が湧く。店名はフランス語で「ごった煮」を意味。様々な料理ジャンルが混然一体となり、自由気ままなスタイルを生み出している。,150-0012,東京,東京,35.648619,139.717783,¥¥,フランス料理
ヌキテパ／Ne Quittez pas,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ne-quittez-pas,,https://www.tablecheck.com/ja/nequittezpas/reserve/message?utm_source=michelin_guide,五輪候補の体操選手、プロボクサーを経てシェフに。世界を目指した情熱がフレンチに向かった。看板は“季節の海産物と畑のフランス料理”。ヌキテパ、魚のスープ、焼き蛤の誕生秘話からも、田辺年男の生き様が見える。土の料理、スイカのコースも唯一無二を追求する発想。味わいながら知ってほしい。,141-0022,東京,東京,35.626015,139.729612,¥¥¥,フランス料理
