awards,name,station,genre,pr,dinner_budget,lunch_budget,rating,holiday,url,reserve_status,reserve_method,opening_time,geo_coordinates,telephone,address,num_review
食べログ ラーメン TOKYO 百名店 2023 選出店,入鹿TOKYO 六本木,六本木駅 233m , ラーメン・つけ麺(ラーメン),,"￥1,000～￥1,999","￥1,000～￥1,999",3.89,月曜日,https://tabelog.com/tokyo/A1307/A130701/13264260/,予約不可,,,"35.66476997262819,139.73168267207618",03-5786-0029,東京都港区六本木4-12-12 穂高ビル 1F,1771
食べログ ラーメン TOKYO 百名店 2023 選出店,純手打ち だるま,中野富士見町駅 75m , ラーメン・つけ麺(ラーメン),,"￥1,000～￥1,999","￥1,000～￥1,999",3.89,-,https://tabelog.com/tokyo/A1319/A131903/13218715/,予約不可,,,"35.69094203867803,139.66652248455256",非公開,東京都杉並区和田1-18-3 ,1081
,麺 みつヰ,田原町駅 36m , ラーメン・つけ麺(ラーメン)、丼,,"￥1,000～￥1,999","￥1,000～￥1,999",3.89,月曜日、日曜日,https://tabelog.com/tokyo/A1311/A131102/13284327/,予約不可,,,"35.70953363870565,139.79032188465357",不明の為情報お待ちしております,東京都台東区寿2-9-15 ,678
食べログ ラーメン TOKYO 百名店 2023 選出店,中華そば 多賀野,荏原中延駅 36m , ラーメン・つけ麺(ラーメン)、ラーメン・つけ麺(つけ麺),,-,-,3.88,水曜日,https://tabelog.com/tokyo/A1317/A131712/13003421/,予約不可,,,"35.60971553874397,139.71155868370053",03-3787-2100,東京都品川区中延2-15-10 ,1932
食べログ ラーメン TOKYO 百名店 2023 選出店,中華そば べんてん,地下鉄成増駅 180m , ラーメン・つけ麺(ラーメン)、ラーメン・つけ麺(つけ麺),,-,-,3.88,日曜日,https://tabelog.com/tokyo/A1322/A132204/13200351/,予約不可,,,"35.776162657683805,139.62925132804418",不明の為情報お待ちしております,東京都練馬区旭町3-25-2 ,1289
食べログ ラーメン TOKYO 百名店 2023 選出店,中華蕎麦 ひら井,府中市 , ラーメン・つけ麺(ラーメン)、ラーメン・つけ麺(つけ麺),,-,-,3.88,火曜日,https://tabelog.com/tokyo/A1326/A132602/13259078/,予約不可,行列や待ち時間の確認のための営業時間中の問い合わせはお控えください。,,"35.688034438620356,139.47960898465422",不明の為情報お待ちしております,東京都府中市栄町2-11-7 ,936
,手打ち 陰日向,分倍河原駅 387m , ラーメン・つけ麺(ラーメン),,"￥1,000～￥1,999","￥1,000～￥1,999",3.88,水曜日,https://tabelog.com/tokyo/A1326/A132602/13297403/,予約不可,,,"35.67164853862677,139.46707858449747",不明の為情報お待ちしております,東京都府中市美好町3-9-10 ,379
食べログ ラーメン TOKYO 百名店 2023 選出店,麺屋 さくら井,三鷹駅 755m , ラーメン・つけ麺(ラーメン),,～￥999,～￥999,3.87,水曜日,https://tabelog.com/tokyo/A1320/A132002/13202438/,予約不可,,,"35.709476838632206,139.5596108848147",不明の為情報お待ちしております,東京都武蔵野市西久保2-15-27 ,1691
食べログ ラーメン TOKYO 百名店 2023 選出店,タンタン,八王子駅 412m , ラーメン・つけ麺(ラーメン),,-,-,3.87,月曜日、土曜日、日曜日、祝日,https://tabelog.com/tokyo/A1329/A132904/13046007/,予約不可,,,"35.65190943859895,139.34031438438694",非公開,東京都八王子市子安町1-30-6 ,1147
食べログ ラーメン TOKYO 百名店 2023 選出店,一条流がんこ総本家分家四谷荒木町,四谷三丁目駅 165m , ラーメン・つけ麺(ラーメン),,-,-,3.87,水曜日,https://tabelog.com/tokyo/A1309/A130903/13126058/,予約不可,,,"35.68926773013858,139.7215065559468",非公開,東京都新宿区舟町4-1 メゾンド四谷 106,1055
食べログ ラーメン TOKYO 百名店 2023 選出店,桜上水 船越,桜上水駅 236m , ラーメン・つけ麺(ラーメン),,"￥1,000～￥1,999","￥1,000～￥1,999",3.87,水曜日、日曜日,https://tabelog.com/tokyo/A1318/A131809/13281101/,予約不可,,,"35.66881993868159,139.6335682843522",不明の為情報お待ちしております,東京都杉並区下高井戸1-21-10 1F,972
食べログ ラーメン TOKYO 百名店 2023 選出店,味噌っ子 ふっく,荻窪駅 676m , ラーメン・つけ麺(ラーメン)、ラーメン・つけ麺(担々麺),,"￥1,000～￥1,999","￥1,000～￥1,999",3.86,火曜日,https://tabelog.com/tokyo/A1319/A131906/13226777/,予約不可,,,"35.70837393865029,139.61417888476532",03-6913-6649,東京都杉並区上荻2-40-11 四面道ビル 1F,1714
食べログ ラーメン TOKYO 百名店 2023 選出店,中華ソバ 伊吹,志村坂上駅 426m , ラーメン・つけ麺(ラーメン),,-,-,3.86,月曜日、日曜日,https://tabelog.com/tokyo/A1322/A132205/13163874/,予約不可,,,"35.77269303863441,139.69254428536007",080-4928-0013,東京都板橋区前野町4-58-10 見次パークマンション 1F,1554
食べログ ラーメン TOKYO 百名店 2023 選出店,支那ソバ おさだ,大山駅 174m , ラーメン・つけ麺(ラーメン)、ラーメン・つけ麺(担々麺)、ラーメン・つけ麺(つけ麺),,"￥1,000～￥1,999","￥1,000～￥1,999",3.86,水曜日、土曜日,https://tabelog.com/tokyo/A1322/A132203/13266841/,予約不可,,,"35.74749603865411,139.7041906850974",不明の為情報お待ちしております,東京都板橋区大山金井町38-1 ,894
,手打ち 蓮,森下駅 397m , ラーメン・つけ麺(ラーメン),,"￥1,000～￥1,999","￥1,000～￥1,999",3.86,月曜日、金曜日,https://tabelog.com/tokyo/A1312/A131201/13278390/,予約不可,,,"35.691454138718925,139.79590768446707",不明の為情報お待ちしております,東京都墨田区千歳3-16-2 ,719
,燎,新富町駅 184m , ラーメン・つけ麺(ラーメン),,"￥1,000～￥1,999","￥1,000～￥1,999",3.86,水曜日,https://tabelog.com/tokyo/A1313/A131301/13296303/,予約可,,,"35.6721043768324,139.77426579083888",不明の為情報お待ちしております,東京都中央区新富1-9-5 SOPHIA GINZA 1F,435
食べログ ラーメン TOKYO 百名店 2023 選出店,三ん寅,江戸川橋駅 263m , ラーメン・つけ麺(ラーメン),,-,-,3.85,-,https://tabelog.com/tokyo/A1309/A130905/13240660/,予約不可,,,"35.70923783868675,139.73039638469257",03-6265-3989,東京都新宿区山吹町362 プレステージ362,2066
食べログ ラーメン TOKYO 百名店 2023 選出店,MENSHO,護国寺駅 334m , ラーメン・つけ麺(ラーメン)、ラーメン・つけ麺(つけ麺)、ラーメン・つけ麺(汁なし担々麺),Farm to Bowl,"￥1,000～￥1,999","￥1,000～￥1,999",3.85,月曜日,https://tabelog.com/tokyo/A1323/A132302/13203848/,予約不可,,,"35.71632903868171,139.72867948476545",03-6902-2878,東京都文京区音羽1-17-16 中銀音羽マンシオン１F,1538
食べログ ラーメン TOKYO 百名店 2023 選出店,らーめんMAIKAGURA,千歳船橋駅 492m , ラーメン・つけ麺(ラーメン)、ラーメン・つけ麺(つけ麺),”日本だからこそ創れる一杯”でありたい。素材のチカラを最大限引き出す新進気鋭のらーめん店,"￥1,000～￥1,999","￥1,000～￥1,999",3.85,月曜日、祝後日,https://tabelog.com/tokyo/A1318/A131813/13218425/,予約不可,,,"35.64806133869013,139.61897928415272",03-6875-7110,東京都世田谷区船橋1-38-4 ,1389
食べログ ラーメン TOKYO 百名店 2023 選出店,燦燦斗,東十条駅 110m , ラーメン・つけ麺(ラーメン)、ラーメン・つけ麺(つけ麺)、ラーメン・つけ麺(油そば・まぜそば),,～￥999,～￥999,3.85,月曜日、木曜日,https://tabelog.com/tokyo/A1323/A132304/13038064/,予約不可,,,"35.76457923865014,139.7257920852548",非公開,東京都北区中十条3-16-15 ,1110
食べログ ラーメン TOKYO 百名店 2023 選出店,自家製中華そば としおか,早稲田（メトロ）駅 507m , ラーメン・つけ麺(ラーメン)、ラーメン・つけ麺(つけ麺),,-,-,3.85,日曜日,https://tabelog.com/tokyo/A1305/A130504/13182315/,予約不可,,,"35.70470866647504,139.72653931593663",不明の為情報お待ちしております,東京都新宿区弁天町20 ,1072
,塩そば 時空,高井戸駅 796m , ラーメン・つけ麺(ラーメン),,"￥1,000～￥1,999","￥1,000～￥1,999",3.85,月曜日,https://tabelog.com/tokyo/A1319/A131906/13287906/,予約不可,,,"35.689749477108265,139.61897729524932",不明の為情報お待ちしております,東京都杉並区高井戸東4-14-7 ,364
食べログ ラーメン TOKYO 百名店 2023 選出店,つけ麺 道,亀有駅 162m , ラーメン・つけ麺(つけ麺),,-,-,3.84,-,https://tabelog.com/tokyo/A1324/A132403/13094595/,予約不可,,,"35.76790317485182,139.84682308345842",03-3605-8578,東京都葛飾区亀有5-28-17 ,1901
食べログ ラーメン TOKYO 百名店 2023 選出店,柴崎亭 つつじヶ丘本店,つつじケ丘駅 131m , ラーメン・つけ麺(ラーメン),,～￥999,～￥999,3.84,-,https://tabelog.com/tokyo/A1326/A132601/13135162/,予約不可,,,"35.65757159558009,139.57378195047454",非公開,東京都調布市西つつじヶ丘3-25-52 ,1895
,麺屋 周郷,新橋駅 211m , ラーメン・つけ麺(つけ麺),,"￥1,000～￥1,999","￥1,000～￥1,999",3.84,-,https://tabelog.com/tokyo/A1301/A130103/13260478/,予約不可,,,"35.664573638723795,139.75762378422237",070-9010-2717,東京都港区新橋4-19-1 ,1321
食べログ ラーメン TOKYO 百名店 2023 選出店,手打麺祭 かめ囲,柴崎駅 209m , ラーメン・つけ麺(ラーメン),,"￥1,000～￥1,999","￥1,000～￥1,999",3.84,火曜日、水曜日,https://tabelog.com/tokyo/A1326/A132601/13273350/,予約不可,,,"35.654618838668576,139.56436098425726",050-8884-3552,東京都調布市菊野台1-55-1 コーポえびすい 1F,966
,麺笑 巧真,京王八王子駅 218m , ラーメン・つけ麺(ラーメン),,～￥999,～￥999,3.84,-,https://tabelog.com/tokyo/A1329/A132904/13246669/,予約不可,,,"35.65975333859448,139.341960884465",不明の為情報お待ちしております,東京都八王子市明神町4-12-2 ,936
,らぁめん ご恩,野方駅 684m , ラーメン・つけ麺(ラーメン),,-,-,3.84,火曜日,https://tabelog.com/tokyo/A1321/A132104/13269170/,予約不可,,,"35.7135002386596,139.65360008478947",不明の為情報お待ちしております,東京都中野区大和町1-13-7 ,488
,のスた 本店,下神明駅 285m , ラーメン・つけ麺(ラーメン),,"￥1,000～￥1,999","￥1,000～￥1,999",3.84,-,https://tabelog.com/tokyo/A1317/A131712/13296505/,予約不可,,,"35.6067016387511,139.7279414836586",不明の為情報お待ちしております,東京都品川区二葉1-16-15 ,206
食べログ ラーメン TOKYO 百名店 2023 選出店,あさひ町内会,板橋区役所前駅 216m , ラーメン・つけ麺(ラーメン),,"￥1,000～￥1,999","￥1,000～￥1,999",3.83,月曜日,https://tabelog.com/tokyo/A1322/A132205/13244535/,予約不可,,,"35.750102938655,139.71215768511817",03-6915-5569,東京都板橋区板橋3-5-1 リビオタワー板橋 1F,1300
食べログ ラーメン TOKYO 百名店 2023 選出店,一番いちばん,町田駅 821m , ラーメン・つけ麺(ラーメン)、ラーメン・つけ麺(つけ麺),,"￥1,000～￥1,999","￥1,000～￥1,999",3.83,水曜日,https://tabelog.com/tokyo/A1327/A132701/13001469/,予約不可,,,"35.54938953869802,139.44698868327663",不明の為情報お待ちしております,東京都町田市中町1-28-24 大成ビル　１Ｆ,983
,三馬路 東京店,神田駅 295m , ラーメン・つけ麺(ラーメン),,"￥1,000～￥1,999","￥1,000～￥1,999",3.83,土曜日、日曜日,https://tabelog.com/tokyo/A1310/A131002/13266565/,予約不可,,,"35.69105163871035,139.76820288448238",03-3527-1412,東京都千代田区内神田2-9-6 祥司ビル 1F,945
,RAMEN MATSUI,新宿御苑前駅 436m , ラーメン・つけ麺(ラーメン),,-,-,3.83,水曜日、木曜日,https://tabelog.com/tokyo/A1304/A130402/13285098/,予約不可,,,"35.689070138694824,139.71550098449933",不明の為情報お待ちしております,東京都新宿区四谷4-25-10 ダイアパレス御苑前 B-2,688
,麺 ふじさき,亀戸駅 577m , ラーメン・つけ麺(ラーメン),,"￥1,000～￥1,999","￥1,000～￥1,999",3.83,火曜日,https://tabelog.com/tokyo/A1312/A131202/13276443/,予約不可,,,"35.70144833872113,139.82275278454915",不明の為情報お待ちしております,東京都江東区亀戸2-8-11 アドリーム亀戸 1F,667
,しおらーめん進化 2nd,町田市 , ラーメン・つけ麺(ラーメン),,"￥1,000～￥1,999","￥1,000～￥1,999",3.83,月曜日,https://tabelog.com/tokyo/A1327/A132701/13277081/,予約不可,,,"35.58741226492019,139.4687316829297",042-860-5122,東京都町田市大蔵町337-1 第二工藤ビル 1F,405
食べログ ラーメン TOKYO 百名店 2023 選出店,銀座 八五,東銀座駅 284m , ラーメン・つけ麺(ラーメン),,"￥1,000～￥1,999","￥1,000～￥1,999",3.82,月曜日,https://tabelog.com/tokyo/A1301/A130101/13228602/,予約可,ご予約はTableCheckからのみ受け付けております。毎週土曜AM9時～、翌週分のご予約を受け付けます。食べログからのご予約はできません。また、お電話・問い合わせ等では予約に関するご質問にはお答えできませんのでご了承ください。,,"35.67054733872399,139.7701498842739",不明の為情報お待ちしております,東京都中央区銀座3-14-2 第一はなぶさビル 1F,1961
,大島,船堀駅 702m , ラーメン・つけ麺(ラーメン),,"￥1,000～￥1,999","￥1,000～￥1,999",3.82,月曜日,https://tabelog.com/tokyo/A1312/A131205/13155875/,予約不可,,,"35.67958093875004,139.86998028429517",03-3680-2601,東京都江戸川区船堀6-7-13 ,1762
食べログ ラーメン TOKYO 百名店 2023 選出店,成城青果,芦花公園駅 114m , ラーメン・つけ麺(ラーメン),,～￥999,～￥999,3.82,-,https://tabelog.com/tokyo/A1318/A131809/13247939/,予約不可,,,"35.67131848036074,139.6089473753623",不明の為情報お待ちしております,東京都世田谷区南烏山3-1-11 芦花パークヒル 1F,1653
食べログ ラーメン TOKYO 百名店 2023 選出店,らぁめん 山と樹,高円寺駅 525m , ラーメン・つけ麺(ラーメン),,～￥999,～￥999,3.82,月曜日,https://tabelog.com/tokyo/A1319/A131904/13204607/,予約不可,,,"35.70349493866642,139.65506878468742",03-6383-1773,東京都杉並区高円寺南5-21-7 高円寺マンション 107,1190
,味噌麺処 田坂屋,池袋駅 383m , ラーメン・つけ麺(ラーメン),,～￥999,～￥999,3.82,月曜日,https://tabelog.com/tokyo/A1305/A130501/13282625/,予約不可,,,"35.73059253866568,139.7068059849248",03-6826-9890,東京都豊島区西池袋3-30-2 フェリース西池袋 1F,1021
食べログ ラーメン TOKYO 百名店 2023 選出店,中華そば 西川,千歳船橋駅 676m , ラーメン・つけ麺(ラーメン),,"￥1,000～￥1,999","￥1,000～￥1,999",3.82,月曜日、火曜日、水曜日,https://tabelog.com/tokyo/A1318/A131813/13213036/,予約不可,,,"35.6442426386923,139.61817518411473",090-9152-9673,東京都世田谷区砧2-15-10 メゾンドオーポン 1F,987
食べログ ラーメン TOKYO 百名店 2023 選出店,Japanese Soba Noodles 蔦,代々木上原駅 293m , ラーメン・つけ麺(ラーメン)、ラーメン・つけ麺(つけ麺),,-,-,3.81,-,https://tabelog.com/tokyo/A1318/A131811/13241560/,予約可,ご予約はTable CheckまたはOMAKASEをご利用ください,,"35.67039593869617,139.68247568433384",03-6416-8620,東京都渋谷区西原3-2-4 フロンティア代々木上原 B1F,1327
食べログ ラーメン TOKYO 百名店 2023 選出店,there is ramen,荻窪駅 353m , ラーメン・つけ麺(ラーメン),,"￥1,000～￥1,999","￥1,000～￥1,999",3.81,-,https://tabelog.com/tokyo/A1319/A131906/13277729/,予約不可,,,"35.70740833865223,139.61835208475264",不明の為情報お待ちしております,東京都杉並区天沼3-10-16 ,1257
食べログ ラーメン TOKYO 百名店 2023 選出店,らーめん亭 ひなり竜王,大森町駅 664m , ラーメン・つけ麺(ラーメン),,"￥1,000～￥1,999","￥1,000～￥1,999",3.81,日曜日,https://tabelog.com/tokyo/A1315/A131503/13276299/,予約不可,,,"35.56734683877854,139.7356289832557",不明の為情報お待ちしております,東京都大田区大森中2-14-17 ,715
,つけ麺 和 東京本店,竹ノ塚駅 141m , ラーメン・つけ麺(つけ麺),,"￥1,000～￥1,999","￥1,000～￥1,999",3.81,-,https://tabelog.com/tokyo/A1324/A132404/13217032/,予約不可,,,"35.79381073865184,139.78943648550546",03-5856-9311,東京都足立区西竹ノ塚1-12-9 共栄ビル 1F,629
,えーちゃん食堂,不動前駅 652m , ラーメン・つけ麺(ラーメン),,-,-,3.81,水曜日,https://tabelog.com/tokyo/A1316/A131601/13284505/,予約不可,,,"35.630536538730105,139.70954648391225",不明の為情報お待ちしております,東京都目黒区下目黒3-4-6 サンライズ目黒 1Ｆ,538
食べログ ラーメン TOKYO 百名店 2023 選出店,中華そば 児ノ木,落合駅 522m , ラーメン・つけ麺(ラーメン)、ラーメン・つけ麺(つけ麺)、ラーメン・つけ麺(油そば・まぜそば),,"￥1,000～￥1,999","￥1,000～￥1,999",3.8,月曜日、金曜日,https://tabelog.com/tokyo/A1319/A131901/13154006/,予約不可,,,"35.711221038673045,139.69128808474005",03-3361-6349,東京都新宿区上落合1-5-3 ,1220
食べログ ラーメン TOKYO 百名店 2023 選出店,長男、ほそのたかし,江古田駅 183m , ラーメン・つけ麺(つけ麺),,"￥1,000～￥1,999","￥1,000～￥1,999",3.8,-,https://tabelog.com/tokyo/A1321/A132101/13261549/,予約不可,,,"35.73636433865158,139.67408948500605",090-3852-4038,東京都練馬区旭丘1-68-12 第4正道江古田ビル 1F,790
食べログ ラーメン TOKYO 百名店 2023 選出店,西永福の煮干箱,西永福駅 112m , ラーメン・つけ麺(ラーメン),,"￥1,000～￥1,999","￥1,000～￥1,999",3.8,-,https://tabelog.com/tokyo/A1318/A131805/13263789/,予約不可,,,"35.678731838676214,139.63641858445033",03-6304-7088,東京都杉並区永福3-55-3 ,748
食べログ ラーメン TOKYO 百名店 2023 選出店,麺屋一燈,新小岩駅 225m , ラーメン・つけ麺(ラーメン)、ラーメン・つけ麺(つけ麺),現代のスタンダードを次元の異なる旨さに昇華させた、わざわざ食べに訪れたい濃厚鶏白湯魚介の味,"￥1,000～￥1,999","￥1,000～￥1,999",3.79,-,https://tabelog.com/tokyo/A1312/A131204/13111737/,予約可,,,"35.71882283872121,139.85769628470015",03-3697-9787,東京都葛飾区東新小岩1-4-17 ,3811
食べログ ラーメン TOKYO 百名店 2023 選出店,中華蕎麦にし乃,本郷三丁目駅 138m , ラーメン・つけ麺(ラーメン),,"￥1,000～￥1,999","￥1,000～￥1,999",3.79,-,https://tabelog.com/tokyo/A1310/A131004/13218311/,予約不可,,,"35.70675373869828,139.7616289846456",不明の為情報お待ちしております,東京都文京区本郷3-30-7 熊野ビル B101,2558
食べログ ラーメン TOKYO 百名店 2023 選出店,ラーメン屋 トイ・ボックス,三ノ輪橋駅 114m , ラーメン・つけ麺(ラーメン),,-,-,3.79,月曜日,https://tabelog.com/tokyo/A1324/A132401/13162973/,予約不可,,,"35.731156426630385,139.7920662673381",03-6458-3664,東京都荒川区 東日暮里1-1-3 1階,2400
食べログ ラーメン TOKYO 百名店 2023 選出店,こうかいぼう,門前仲町駅 453m , ラーメン・つけ麺(ラーメン)、ラーメン・つけ麺(つけ麺),,～￥999,～￥999,3.79,水曜日、日曜日,https://tabelog.com/tokyo/A1313/A131303/13005052/,予約不可,,,"35.67530053873009,139.79880258430185",03-5620-4777,東京都江東区深川2-13-10 ニックハイム深川 1F,2361
食べログ ラーメン TOKYO 百名店 2023 選出店,らーめん飛粋,蒲田駅 204m , ラーメン・つけ麺(ラーメン),,"￥1,000～￥1,999","￥1,000～￥1,999",3.79,日曜日,https://tabelog.com/tokyo/A1315/A131503/13217922/,予約不可,,,"35.5640356387748,139.7173082832351",不明の為情報お待ちしております,東京都大田区蒲田5-2-5 ,2355
食べログ ラーメン TOKYO 百名店 2023 選出店,らぁ麺やまぐち,面影橋駅 344m , ラーメン・つけ麺(ラーメン)、ラーメン・つけ麺(つけ麺),,"￥1,000～￥1,999","￥1,000～￥1,999",3.79,-,https://tabelog.com/tokyo/A1305/A130504/13151200/,予約不可,,,"35.70998303868105,139.71396668471164",03-3204-5120,東京都新宿区西早稲田3-13-4 1F,2106
,麺尊 RAGE,西荻窪駅 225m , ラーメン・つけ麺(ラーメン)、ラーメン・つけ麺(つけ麺)、ラーメン・つけ麺(油そば・まぜそば),,"￥1,000～￥1,999","￥1,000～￥1,999",3.79,-,https://tabelog.com/tokyo/A1319/A131907/13178309/,予約不可,,,"35.70178113864971,139.59917758470925",非公開,東京都杉並区松庵3-37-22 レンツェン松庵 1F,2082
食べログ ラーメン TOKYO 百名店 2023 選出店,麺処 晴,入谷駅 174m , ラーメン・つけ麺(ラーメン),,～￥999,～￥999,3.79,-,https://tabelog.com/tokyo/A1311/A131104/13143115/,予約不可,,,"35.719647638697026,139.78340118476055",03-3847-8553,東京都台東区下谷1-11-7 ,2029
食べログ ラーメン TOKYO 百名店 2023 選出店,キング製麺,王子駅前駅 406m , ラーメン・つけ麺(ラーメン)、ラーメン・つけ麺(つけ麺)、ラーメン・つけ麺(汁なし担々麺),,"￥1,000～￥1,999","￥1,000～￥1,999",3.79,-,https://tabelog.com/tokyo/A1323/A132303/13232817/,予約不可,,,"35.75340673865979,139.7338203851363",不明の為情報お待ちしております,東京都北区王子本町1-14-1 高崎ビル 1F,1735
